runName,architecture,optuna_trial,status,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"InceptionResNetV2 | dl:2, du1:256, du2:512, dr:0.5, opt:Adam, lr:2.551831621769253e-05, bs:16",InceptionResNetV2,81.0,pruned,2,256.0,512.0,0.5,Adam,2.551831621769253e-05,,16,8.0,0.4652014672756195,0.5878048539161682,1.2708877325057983,1.0966702699661257,,,,,,,,,,2,fdb3764f49694a7bb677e0d0918c15a0,True,hyperparameter_optimization,2026-08-06 14:10:18.342000+00:00,2026-08-06 14:26:44.271000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:64, dr:0.5, opt:AdamW, lr:0.00023334337650875975, wd:7.88308682053656e-05, bs:16",InceptionResNetV2,80.0,pruned,2,512.0,64.0,0.5,AdamW,0.0002333433765087,7.88308682053656e-05,16,8.0,0.5830280780792236,0.5926828980445862,1.0384126901626587,0.9909080862998962,,,,,,,,,,2,44ab46ae3747423ca8a389213168658f,True,hyperparameter_optimization,2026-08-06 13:53:38.410000+00:00,2026-08-06 14:10:17.116000+00:00
"InceptionResNetV2 | dl:2, du1:128, du2:512, dr:0.4, opt:AdamW, lr:0.00032729811185576213, wd:8.931181369137098e-07, bs:16",InceptionResNetV2,79.0,completed,2,128.0,512.0,0.4,AdamW,0.0003272981118557,8.931181369137098e-07,16,25.0,0.7863247990608215,0.6536585092544556,0.5606059432029724,0.832381546497345,0.8150447010993958,0.797924297924298,0.6463414634146342,0.8010926655863202,0.6479820862047481,0.797924297924298,0.6463414634146342,0.796790198928404,0.6469453955313216,2,19ade49173344dd292afcc01723b6db7,True,hyperparameter_optimization,2026-08-06 12:57:47.573000+00:00,2026-08-06 13:53:37.235000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:Adam, lr:0.00012179863507291163, bs:16",InceptionResNetV2,78.0,pruned,2,512.0,512.0,0.4,Adam,0.0001217986350729,,16,9.0,0.6721611618995667,0.6414633989334106,0.7832129001617432,0.8590958714485168,,,,,,,,,,2,4666447790794fccaac4b96522de2d4d,True,hyperparameter_optimization,2026-08-06 12:39:35.485000+00:00,2026-08-06 12:57:46.187000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.2, opt:Adam, lr:0.0004028193705339735, bs:16",InceptionResNetV2,77.0,pruned,2,512.0,512.0,0.2,Adam,0.0004028193705339,,16,14.0,0.8168498277664185,0.6707317233085632,0.4686414897441864,0.8447393774986267,,,,,,,,,,2,81530a0c4a47498295b26600bd8f7ed1,True,hyperparameter_optimization,2026-08-06 12:10:58.396000+00:00,2026-08-06 12:39:34.246000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:Adam, lr:7.158542003613416e-05, bs:16",InceptionResNetV2,76.0,completed,2,512.0,512.0,0.4,Adam,7.158542003613416e-05,,16,27.0,0.7600732445716858,0.6682927012443542,0.5902354717254639,0.8344454169273376,0.8231838941574097,0.7942612942612942,0.7,0.7988311651631302,0.7089618251149349,0.7942612942612942,0.7,0.792559691899754,0.698929412760555,2,f0b7392789714a8ebdd46aa2ed450134,True,hyperparameter_optimization,2026-08-06 11:11:48.782000+00:00,2026-08-06 12:10:57.106000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.4, opt:Adam, lr:0.00040989868472458276, bs:16",InceptionResNetV2,75.0,pruned,2,512.0,512.0,0.4,Adam,0.0004098986847245,,16,9.0,0.6904761791229248,0.6170731782913208,0.7474252581596375,0.8895531892776489,,,,,,,,,,2,977ca6559dd046d099e65258abd563a6,True,hyperparameter_optimization,2026-08-06 10:53:36.661000+00:00,2026-08-06 11:11:47.601000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.30000000000000004, opt:Adam, lr:0.00045392966273338027, bs:16",InceptionResNetV2,74.0,pruned,2,512.0,512.0,0.3,Adam,0.0004539296627333,,16,9.0,0.732600748538971,0.6682927012443542,0.6600174903869629,0.8562736511230469,,,,,,,,,,2,d97b7195a6be4d0abaa29c4f9ed745de,True,hyperparameter_optimization,2026-08-06 10:35:25.650000+00:00,2026-08-06 10:53:35.457000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:256, dr:0.5, opt:Adam, lr:6.91983819088807e-05, bs:32",InceptionResNetV2,73.0,pruned,2,512.0,256.0,0.5,Adam,6.91983819088807e-05,,32,8.0,0.5372405648231506,0.5926828980445862,1.1233161687850952,0.995697021484375,,,,,,,,,,2,6ba0e452bbf74f328b5c89f7db1443a6,True,hyperparameter_optimization,2026-08-06 10:15:14.829000+00:00,2026-08-06 10:35:24.634000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.30000000000000004, opt:AdamW, lr:0.00010039042039808914, wd:1.0732351587904908e-07, bs:16",InceptionResNetV2,72.0,pruned,2,512.0,512.0,0.3,AdamW,0.000100390420398,1.0732351587904909e-07,16,9.0,0.7032967209815979,0.6634146571159363,0.7433087825775146,0.8735608458518982,,,,,,,,,,2,821784e78f0c4032ab250ddd897ea3c5,True,hyperparameter_optimization,2026-08-06 09:56:28.677000+00:00,2026-08-06 10:15:13.659000+00:00
"InceptionResNetV2 | dl:0, dr:0.5, opt:AdamW, lr:0.0008400902282298175, wd:4.945150259013354e-06, bs:16",InceptionResNetV2,71.0,pruned,0,,,0.5,AdamW,0.0008400902282298,4.945150259013354e-06,16,9.0,0.6556776762008667,0.6219512224197388,0.850382924079895,0.8870519995689392,,,,,,,,,,2,dd34b6cf6a1b4cc2ae34b6647e4d8cd6,True,hyperparameter_optimization,2026-08-06 09:38:05.769000+00:00,2026-08-06 09:56:27.404000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.5, opt:AdamW, lr:0.000603116929423466, wd:1.9228636364410184e-06, bs:16",InceptionResNetV2,70.0,pruned,2,512.0,512.0,0.5,AdamW,0.0006031169294234,1.9228636364410184e-06,16,9.0,0.6642246842384338,0.6317073106765747,0.8059284090995789,0.8555756211280823,,,,,,,,,,2,b388c1640c7b4a1c8a148a2ceb7b1ca4,True,hyperparameter_optimization,2026-08-06 09:19:55.008000+00:00,2026-08-06 09:38:04.814000+00:00
"InceptionResNetV2 | dl:2, du1:512, du2:512, dr:0.5, opt:AdamW, lr:0.0007801228106759596, wd:3.8559630876403386e-05, bs:16",InceptionResNetV2,69.0,pruned,2,512.0,512.0,0.5,AdamW,0.0007801228106759,3.8559630876403386e-05,16,9.0,0.6514041423797607,0.6170731782913208,0.8763686418533325,0.8767292499542236,,,,,,,,,,2,c55fc18d310b44989ee15d83ffd324c0,True,hyperparameter_optimization,2026-08-06 09:01:45.812000+00:00,2026-08-06 09:19:53.784000+00:00
